"filename", "language", "Dart", "comment", "blank", "total"
"/Users/estai/Desktop/W/tasu_front/lib/admin/constant/admin_constant.dart", "Dart", 2, 0, 1, 3
"/Users/estai/Desktop/W/tasu_front/lib/admin/data/cache.dart", "Dart", 1, 7, 2, 10
"/Users/estai/Desktop/W/tasu_front/lib/admin/data/services/admin_repository.dart", "Dart", 43, 2, 2, 47
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/addupdate_cubit.dart", "Dart", 96, 1, 11, 108
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/addupdate_state.dart", "Dart", 3, 1, 0, 4
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/adminlist_cubit.dart", "Dart", 39, 0, 4, 43
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/adminlist_state.dart", "Dart", 16, 0, 0, 16
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/data/data_source.dart", "Dart", -11, 1, -7, -17
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admin_addupdate_model.dart", "Dart", 106, 22, 11, 139
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admin_list_model.dart", "Dart", 41, 0, 4, 45
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admintype_liset_model.dart", "Dart", 62, 0, 8, 70
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/setstatus_model.dart", "Dart", 15, 0, 4, 19
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/addupdate_admin_screen.dart", "Dart", 204, 8, 5, 217
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/admin_list_screen.dart", "Dart", -13, 113, 8, 108
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/cubit/login_cubit.dart", "Dart", 1, 4, 3, 8
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/view/login_screen.dart", "Dart", 0, 1, 2, 3
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/addupdate_cubit.dart", "Dart", 36, 1, 0, 37
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/addupdatecompany_state.dart", "Dart", 13, -1, 1, 13
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/company_cubit.dart", "Dart", -3, 3, 3, 3
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/data/data_source copy.dart", "Dart", 359, 205, 46, 610
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/data/data_source.dart", "Dart", -204, 120, -12, -96
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/data/orderinfo_datagridsource.dart", "Dart", 178, 57, 23, 258
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/data/sy_T_data_s.dart", "Dart", 256, 40, 20, 316
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/model/compony_list_model.dart", "Dart", 47, 0, 1, 48
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/model/create_update_model.dart", "Dart", 201, 74, 15, 290
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/view/addupdate_company_screen.dart", "Dart", 8, 12, -1, 19
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/view/company.dart", "Dart", -1, 0, 1, 0
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/view/company_list_screen.dart", "Dart", -216, -58, -21, -295
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/view/demo.dart", "Dart", 174, 15, 12, 201
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/home/admin_dashboard.dart", "Dart", -38, 37, -1, -2
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/shared/cache.dart", "Dart", 0, 19, 4, 23
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/shared/local_state.dart", "Dart", 17, 0, 6, 23
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/user_list/cubit/user_cubit.dart", "Dart", 21, 0, 0, 21
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/user_list/cubit/user_state.dart", "Dart", 24, 0, 0, 24
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/user_list/data/data_source.dart", "Dart", 162, 52, 29, 243
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/user_list/model/trans_user_model.dart", "Dart", 45, 0, -1, 44
