"filename", "language", "Dart", "comment", "blank", "total"
"/Users/estai/Desktop/W/tasu_front/lib/admin/admin.dart", "Dart", 8, 1, 1, 10
"/Users/estai/Desktop/W/tasu_front/lib/admin/constant/admin_constant.dart", "Dart", 7, 0, 3, 10
"/Users/estai/Desktop/W/tasu_front/lib/admin/data/cache.dart", "Dart", 13, 7, 5, 25
"/Users/estai/Desktop/W/tasu_front/lib/admin/data/provider/admin_provider.dart", "Dart", 26, 1, 2, 29
"/Users/estai/Desktop/W/tasu_front/lib/admin/data/services/admin_repository.dart", "Dart", 307, 10, 22, 339
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/addupdate_cubit.dart", "Dart", 102, 1, 14, 117
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/addupdate_state.dart", "Dart", 44, 1, 4, 49
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/adminlist_cubit.dart", "Dart", 103, 0, 15, 118
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/adminlist_state.dart", "Dart", 44, 0, 6, 50
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/data/data_source.dart", "Dart", 174, 58, 23, 255
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admin_addupdate_model.dart", "Dart", 106, 22, 11, 139
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admin_list_model.dart", "Dart", 127, 20, 16, 163
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admintype_liset_model.dart", "Dart", 62, 0, 8, 70
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/setstatus_model.dart", "Dart", 15, 0, 4, 19
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/addupdate_admin_screen.dart", "Dart", 221, 8, 8, 237
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/admin_list_screen.dart", "Dart", 91, 113, 17, 221
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_profile/admin_profile.dart", "Dart", 12, 0, 3, 15
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/cubit/login_cubit.dart", "Dart", 53, 4, 10, 67
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/cubit/login_state.dart", "Dart", 48, 0, 3, 51
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/view/login_screen.dart", "Dart", 161, 7, 5, 173
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/addupdate_cubit.dart", "Dart", 140, 1, 10, 151
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/addupdatecompany_state.dart", "Dart", 55, 1, 5, 61
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/company_cubit.dart", "Dart", 88, 6, 18, 112
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/company_state.dart", "Dart", 50, 6, 6, 62
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/data/data_source copy.dart", "Dart", 359, 205, 46, 610
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/data/data_source.dart", "Dart", 0, 177, 18, 195
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/data/orderinfo_datagridsource.dart", "Dart", 178, 57, 23, 258
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/data/sy_T_data_s.dart", "Dart", 256, 40, 20, 316
