Date : 2022-08-09 16:15:53
Directory : /Users/estai/Desktop/W/tasu_front/lib
Total : 109 files,  10269 codes, 1713 comments, 1145 blanks, all 13127 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        109 |     10,269 |      1,713 |      1,145 |     13,127 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |        109 |     10,269 |      1,713 |      1,145 |     13,127 |
| admin                                                                                           |         66 |      6,723 |      1,313 |        758 |      8,794 |
| admin/constant                                                                                  |          1 |          7 |          0 |          3 |         10 |
| admin/data                                                                                      |          3 |        346 |         18 |         29 |        393 |
| admin/data/provider                                                                             |          1 |         26 |          1 |          2 |         29 |
| admin/data/services                                                                             |          1 |        307 |         10 |         22 |        339 |
| admin/futures                                                                                   |         45 |      4,318 |      1,122 |        486 |      5,926 |
| admin/futures/admin_list                                                                        |         11 |      1,089 |        223 |        126 |      1,438 |
| admin/futures/admin_list/cubit                                                                  |          4 |        293 |          2 |         39 |        334 |
| admin/futures/admin_list/data                                                                   |          1 |        174 |         58 |         23 |        255 |
| admin/futures/admin_list/model                                                                  |          4 |        310 |         42 |         39 |        391 |
| admin/futures/admin_list/view                                                                   |          2 |        312 |        121 |         25 |        458 |
| admin/futures/admin_profile                                                                     |          1 |         12 |          0 |          3 |         15 |
| admin/futures/auth                                                                              |          3 |        262 |         11 |         18 |        291 |
| admin/futures/auth/login                                                                        |          3 |        262 |         11 |         18 |        291 |
| admin/futures/auth/login/cubit                                                                  |          2 |        101 |          4 |         13 |        118 |
| admin/futures/auth/login/view                                                                   |          1 |        161 |          7 |          5 |        173 |
| admin/futures/company                                                                           |         13 |      2,061 |        620 |        200 |      2,881 |
| admin/futures/company/cubit                                                                     |          4 |        333 |         14 |         39 |        386 |
| admin/futures/company/data                                                                      |          4 |        793 |        479 |        107 |      1,379 |
| admin/futures/company/model                                                                     |          2 |        513 |         82 |         30 |        625 |
| admin/futures/company/view                                                                      |          3 |        422 |         45 |         24 |        491 |
| admin/futures/home                                                                              |          4 |        162 |         51 |         25 |        238 |
| admin/futures/home/cubit                                                                        |          2 |         66 |          2 |         12 |         80 |
| admin/futures/home/provider                                                                     |          1 |         28 |          0 |          2 |         30 |
| admin/futures/profile                                                                           |          3 |         25 |          0 |         10 |         35 |
| admin/futures/profile/cubit                                                                     |          2 |         13 |          0 |          7 |         20 |
| admin/futures/shared                                                                            |          2 |         17 |         19 |         10 |         46 |
| admin/futures/statistics                                                                        |          3 |        159 |          4 |         15 |        178 |
| admin/futures/statistics/cubit                                                                  |          2 |         66 |          1 |         11 |         78 |
| admin/futures/user_list                                                                         |          5 |        531 |        194 |         79 |        804 |
| admin/futures/user_list/cubit                                                                   |          2 |        137 |          0 |         16 |        153 |
| admin/futures/user_list/data                                                                    |          1 |        162 |         52 |         29 |        243 |
| admin/futures/user_list/model                                                                   |          1 |        142 |          0 |          8 |        150 |
| admin/futures/user_list/view                                                                    |          1 |         90 |        142 |         26 |        258 |
| admin/model                                                                                     |          2 |         90 |         21 |         13 |        124 |
| admin/view                                                                                      |         14 |      1,954 |        151 |        226 |      2,331 |
| admin/view/screen                                                                               |          2 |        115 |         16 |         13 |        144 |
| admin/view/widget                                                                               |         12 |      1,839 |        135 |        213 |      2,187 |
| client                                                                                          |         12 |      1,849 |         49 |        148 |      2,046 |
| client/constant                                                                                 |          1 |         11 |          0 |          3 |         14 |
| client/data                                                                                     |          2 |      1,628 |         46 |        113 |      1,787 |
| client/futures                                                                                  |          8 |        210 |          3 |         31 |        244 |
| client/futures/auth                                                                             |          3 |        161 |          3 |         15 |        179 |
| client/futures/auth/cubit                                                                       |          2 |         87 |          0 |         10 |         97 |
| client/futures/auth/login                                                                       |          1 |         74 |          3 |          5 |         82 |
| client/futures/home                                                                             |          3 |         25 |          0 |         10 |         35 |
| client/futures/home/cubit                                                                       |          2 |         13 |          0 |          7 |         20 |
| client/futures/home/view                                                                        |          1 |         12 |          0 |          3 |         15 |
| client/futures/settings                                                                         |          1 |         12 |          0 |          3 |         15 |
| client/futures/settings/view                                                                    |          1 |         12 |          0 |          3 |         15 |
| client/futures/user                                                                             |          1 |         12 |          0 |          3 |         15 |
| client/futures/user/view                                                                        |          1 |         12 |          0 |          3 |         15 |
| devtools                                                                                        |          2 |          8 |          0 |          3 |         11 |
| global                                                                                          |         27 |      1,576 |        343 |        221 |      2,140 |
| global/config                                                                                   |          5 |        367 |         24 |         24 |        415 |
| global/config/constant                                                                          |          2 |         10 |          5 |          4 |         19 |
| global/config/router                                                                            |          3 |        357 |         19 |         20 |        396 |
| global/data                                                                                     |          4 |        176 |          5 |         35 |        216 |
| global/data/provider                                                                            |          2 |         54 |          0 |         13 |         67 |
| global/model                                                                                    |          1 |         39 |          0 |          9 |         48 |
| global/utils                                                                                    |          5 |        380 |        210 |         46 |        636 |
| global/widgets                                                                                  |         12 |        614 |        104 |        107 |        825 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                        | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/estai/Desktop/W/tasu_front/lib/admin/admin.dart                                          | Dart     |          8 |          1 |          1 |         10 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/constant/admin_constant.dart                        | Dart     |          7 |          0 |          3 |         10 |
