Date : 2022-09-11 10:47:25
Directory : /Users/estai/Desktop/W/tasu_front/lib
Total : 116 files,  2388 codes, -178 comments, 210 blanks, all 2420 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        116 |      2,388 |       -178 |        210 |      2,420 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                            |        116 |      2,388 |       -178 |        210 |      2,420 |
| admin                                                                                                                                        |          9 |       -151 |          5 |        -14 |       -160 |
| admin/data                                                                                                                                   |          1 |          0 |          1 |          0 |          1 |
| admin/data/services                                                                                                                          |          1 |          0 |          1 |          0 |          1 |
| admin/futures                                                                                                                                |          3 |       -137 |          2 |        -16 |       -151 |
| admin/futures/auth                                                                                                                           |          1 |         -1 |          3 |          0 |          2 |
| admin/futures/auth/login                                                                                                                     |          1 |         -1 |          3 |          0 |          2 |
| admin/futures/auth/login/cubit                                                                                                               |          1 |         -1 |          3 |          0 |          2 |
| admin/futures/user_list                                                                                                                      |          2 |       -136 |         -1 |        -16 |       -153 |
| admin/futures/user_list/cubit                                                                                                                |          2 |       -136 |         -1 |        -16 |       -153 |
| admin/util                                                                                                                                   |          2 |        -13 |         -3 |          2 |        -14 |
| admin/view                                                                                                                                   |          2 |         -1 |          3 |          0 |          2 |
| admin/view/widget                                                                                                                            |          2 |         -1 |          3 |          0 |          2 |
| client                                                                                                                                       |         77 |      1,965 |        128 |        241 |      2,334 |
| client/data                                                                                                                                  |          1 |        193 |         -6 |         13 |        200 |
| client/futures                                                                                                                               |         64 |      1,539 |        114 |        195 |      1,848 |
| client/futures/auth                                                                                                                          |          1 |          1 |          2 |          0 |          3 |
| client/futures/auth/cubit                                                                                                                    |          1 |          1 |          2 |          0 |          3 |
| client/futures/settings                                                                                                                      |         63 |      1,538 |        112 |        195 |      1,845 |
| client/futures/settings/view                                                                                                                 |         61 |      1,506 |        112 |        190 |      1,808 |
| client/futures/settings/view/sub                                                                                                             |         60 |      1,506 |        112 |        191 |      1,809 |
| client/futures/settings/view/sub/futures                                                                                                     |         59 |      1,516 |        112 |        194 |      1,822 |
| client/futures/settings/view/sub/futures/classifiers                                                                                         |         45 |      1,010 |        119 |        160 |      1,289 |
| client/futures/settings/view/sub/futures/classifiers/data                                                                                    |          1 |         49 |         36 |          4 |         89 |
| client/futures/settings/view/sub/futures/classifiers/model                                                                                   |          4 |         88 |          0 |         16 |        104 |
| client/futures/settings/view/sub/futures/classifiers/view                                                                                    |         40 |        873 |         83 |        140 |      1,096 |
| client/futures/settings/view/sub/futures/classifiers/view/sub                                                                                |         39 |        682 |         83 |        124 |        889 |
| client/futures/settings/view/sub/futures/organization                                                                                        |         14 |        506 |         -7 |         34 |        533 |
| client/futures/settings/view/sub/futures/organization/data                                                                                   |          1 |          6 |          0 |          3 |          9 |
| client/futures/settings/view/sub/futures/organization/model                                                                                  |          3 |        192 |          0 |         17 |        209 |
| client/futures/settings/view/sub/futures/organization/view                                                                                   |         10 |        308 |         -7 |         14 |        315 |
| client/futures/settings/view/sub/futures/organization/view/dialog                                                                            |          5 |        435 |          1 |         19 |        455 |
| client/futures/settings/view/sub/futures/organization/view/dialog/widget                                                                     |          1 |         12 |          0 |          2 |         14 |
| client/futures/settings/view/sub/futures/organization/view/sub                                                                               |          4 |        112 |          2 |          5 |        119 |
| client/futures/settings/widget                                                                                                               |          2 |         32 |          0 |          5 |         37 |
| client/model                                                                                                                                 |          4 |        115 |          0 |         19 |        134 |
| client/view                                                                                                                                  |          7 |        111 |         19 |         13 |        143 |
| client/view/widget                                                                                                                           |          7 |        111 |         19 |         13 |        143 |
| global                                                                                                                                       |         27 |        732 |       -270 |          4 |        466 |
| global/config                                                                                                                                |          3 |          1 |        -13 |         -3 |        -15 |
| global/config/constant                                                                                                                       |          1 |         11 |          5 |          1 |         17 |
| global/config/router                                                                                                                         |          2 |        -10 |        -18 |         -4 |        -32 |
| global/data                                                                                                                                  |         10 |          3 |          1 |         -4 |          0 |
| global/data/base                                                                                                                             |          1 |          4 |          0 |          1 |          5 |
